2020/04/10 15:29:57 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /osmroads/14/13700/7518.json HTTP/1.1", upstream: "http://172.18.0.4:8088/osmroads/14/13700/7518.json", host: "192.168.178.4:1001"
2020/04/10 15:29:57 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.18.0.4:8088/favicon.ico", host: "192.168.178.4:1001", referrer: "http://192.168.178.4:1001/osmroads/14/13700/7518.json"
2020/04/10 15:29:57 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /osmroads/14/13700/7518.json HTTP/1.1", upstream: "http://172.18.0.4:8088/osmroads/14/13700/7518.json", host: "192.168.178.4:1001"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.18.0.4:8088/favicon.ico", host: "192.168.178.4:1001", referrer: "http://192.168.178.4:1001/osmroads/14/13700/7518.json"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /osmroads/14/13700/7518.json HTTP/1.1", upstream: "http://172.18.0.4:8088/osmroads/14/13700/7518.json", host: "192.168.178.4:1001"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.18.0.4:8088/favicon.ico", host: "192.168.178.4:1001", referrer: "http://192.168.178.4:1001/osmroads/14/13700/7518.json"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /osmroads/14/13700/7518.json HTTP/1.1", upstream: "http://172.18.0.4:8088/osmroads/14/13700/7518.json", host: "192.168.178.4:1001"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.18.0.4:8088/favicon.ico", host: "192.168.178.4:1001", referrer: "http://192.168.178.4:1001/osmroads/14/13700/7518.json"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /osmroads/14/13700/7518.json HTTP/1.1", upstream: "http://172.18.0.4:8088/osmroads/14/13700/7518.json", host: "192.168.178.4:1001"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.18.0.4:8088/favicon.ico", host: "192.168.178.4:1001", referrer: "http://192.168.178.4:1001/osmroads/14/13700/7518.json"
2020/04/10 15:29:58 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.178.3, server: localhost, request: "GET /osmroads/14/13700/7518.json HTTP/1.1", upstream: "http://172.18.0.4:8088/osmroads/14/13700/7518.json", host: "192.168.178.4:1001"
